time (s)	f(t)
1.67	-1.08337137
1.68	-1.157616895
1.69	-1.228080661
1.7	-1.293435133
1.71	-1.352377079
1.72	-1.403649203
1.73	-1.446061263
1.74	-1.478510352
1.75	-1.5
1.76	-1.509657806
1.77	-1.5067513
1.78	-1.490701784
1.79	-1.461095923
1.8	-1.417694894
1.81	-1.360440938
1.82	-1.2894612
1.83	-1.205068785
1.84	-1.107761001
1.85	-0.99821481
1.86	-0.877279533
1.87	-0.745966922
1.88	-0.60543874
1.89	-0.456992026
1.9	-0.302042267
1.91	-0.142104731
1.92	0.021225771
1.93	0.186296371
1.94	0.351418572
1.95	0.514891264
1.96	0.675023987
1.97	0.83016009
1.98	0.978699429
1.99	1.119120261
2	1.25
2.01	1.370034533
2.02	1.478055784
2.03	1.573047272
2.04	1.654157435
2.05	1.720710505
2.06	1.772214784
2.07	1.808368197
2.08	1.829061044
2.09	1.834375911
2.1	1.824584753
2.11	1.800143204
2.12	1.7616822
2.13	1.709997061
2.14	1.646034203
2.15	1.570875695
2.16	1.485721902
2.17	1.391872501
2.18	1.290706148
2.19	1.18365914
2.2	1.072203391
2.21	0.957824074
2.22	0.84199727
2.23	0.72616799
2.24	0.611728884
2.25	0.5
2.26	0.392209871
2.27	0.289478252
2.28	0.192800746
2.29	0.103035569
2.3	0.020892647
2.31	-0.053074795
2.32	-0.118476032
2.33	-0.175085936
2.34	-0.222845343
2.35	-0.2618587
2.36	-0.292389032
2.37	-0.314850326
2.38	-0.329797469
2.39	-0.33791391
2.4	-0.339997254
2.41	-0.33694303
2.42	-0.329726901
2.43	-0.319385624
2.44	-0.306997051
2.45	-0.293659522
2.46	-0.280470981
2.47	-0.268508157
2.48	-0.258806155
2.49	-0.252338793
2.5	-0.25
2.51	-0.252586598
2.52	-0.260782735
2.53	-0.275146233
2.54	-0.296097081
2.55	-0.323908258
2.56	-0.35869905
2.57	-0.400430965
2.58	-0.448906324
2.59	-0.503769567
2.6	-0.564511243
2.61	-0.630474639
2.62	-0.700864953
2.63	-0.774760852
2.64	-0.851128267
2.65	-0.928836173
2.66	-1.006674141
2.67	-1.08337137
2.68	-1.157616895
2.69	-1.228080661
2.7	-1.293435133
2.71	-1.352377079
2.72	-1.403649203
2.73	-1.446061263
2.74	-1.478510352
2.75	-1.5
2.76	-1.509657806
2.77	-1.5067513
2.78	-1.490701784
2.79	-1.461095923
2.8	-1.417694894
2.81	-1.360440938
2.82	-1.2894612
2.83	-1.205068785
2.84	-1.107761001
2.85	-0.99821481
2.86	-0.877279533
2.87	-0.745966922
2.88	-0.60543874
2.89	-0.456992026
2.9	-0.302042267
2.91	-0.142104731
2.92	0.021225771
2.93	0.186296371
2.94	0.351418572
2.95	0.514891264
2.96	0.675023987
2.97	0.83016009
2.98	0.978699429
2.99	1.119120261
3	1.25
3.01	1.370034533
3.02	1.478055784
3.03	1.573047272
3.04	1.654157435
3.05	1.720710505
3.06	1.772214784
3.07	1.808368197
3.08	1.829061044
3.09	1.834375911
3.1	1.824584753
3.11	1.800143204
3.12	1.7616822
3.13	1.709997061
3.14	1.646034203
3.15	1.570875695
3.16	1.485721902
3.17	1.391872501
3.18	1.290706148
3.19	1.18365914
3.2	1.072203391
3.21	0.957824074
3.22	0.84199727
3.23	0.72616799
3.24	0.611728884
3.25	0.5
3.26	0.392209871
3.27	0.289478252
3.28	0.192800746
3.29	0.103035569
3.3	0.020892647
3.31	-0.053074795
3.32	-0.118476032
3.33	-0.175085936
3.34	-0.222845343
3.35	-0.2618587
3.36	-0.292389032
3.37	-0.314850326
3.38	-0.329797469
3.39	-0.33791391
3.4	-0.339997254
3.41	-0.33694303
3.42	-0.329726901
3.43	-0.319385624
3.44	-0.306997051
3.45	-0.293659522
3.46	-0.280470981
3.47	-0.268508157
3.48	-0.258806155
3.49	-0.252338793
3.5	-0.25
3.51	-0.252586598
3.52	-0.260782735
3.53	-0.275146233
3.54	-0.296097081
3.55	-0.323908258
3.56	-0.35869905
3.57	-0.400430965
3.58	-0.448906324
3.59	-0.503769567
3.6	-0.564511243
3.61	-0.630474639
3.62	-0.700864953
3.63	-0.774760852
3.64	-0.851128267
3.65	-0.928836173
3.66	-1.006674141
3.67	-1.08337137
3.68	-1.157616895
3.69	-1.228080661
3.7	-1.293435133
3.71	-1.352377079
3.72	-1.403649203
3.73	-1.446061263
3.74	-1.478510352
3.75	-1.5
3.76	-1.509657806
3.77	-1.5067513
3.78	-1.490701784
3.79	-1.461095923
3.8	-1.417694894
3.81	-1.360440938
3.82	-1.2894612
3.83	-1.205068785
3.84	-1.107761001
3.85	-0.99821481
3.86	-0.877279533
3.87	-0.745966922
3.88	-0.60543874
3.89	-0.456992026
3.9	-0.302042267
3.91	-0.142104731
3.92	0.021225771
3.93	0.186296371
3.94	0.351418572
3.95	0.514891264
3.96	0.675023987
3.97	0.83016009
3.98	0.978699429
3.99	1.119120261
4	1.25
4.01	1.370034533
4.02	1.478055784
4.03	1.573047272
4.04	1.654157435
4.05	1.720710505
4.06	1.772214784
4.07	1.808368197
4.08	1.829061044
4.09	1.834375911
4.1	1.824584753
4.11	1.800143204
4.12	1.7616822
4.13	1.709997061
4.14	1.646034203
4.15	1.570875695
4.16	1.485721902
4.17	1.391872501
4.18	1.290706148
4.19	1.18365914
4.2	1.072203391
4.21	0.957824074
4.22	0.84199727
4.23	0.72616799
4.24	0.611728884
4.25	0.5
4.26	0.392209871
4.27	0.289478252
4.28	0.192800746
4.29	0.103035569
4.3	0.020892647
4.31	-0.053074795
4.32	-0.118476032
4.33	-0.175085936
4.34	-0.222845343
4.35	-0.2618587
4.36	-0.292389032
4.37	-0.314850326
4.38	-0.329797469
4.39	-0.33791391
4.4	-0.339997254
4.41	-0.33694303
4.42	-0.329726901
4.43	-0.319385624
4.44	-0.306997051
4.45	-0.293659522
4.46	-0.280470981
4.47	-0.268508157
4.48	-0.258806155
4.49	-0.252338793
4.5	-0.25
4.51	-0.252586598
4.52	-0.260782735
4.53	-0.275146233
4.54	-0.296097081
4.55	-0.323908258
4.56	-0.35869905
4.57	-0.400430965
4.58	-0.448906324
4.59	-0.503769567
4.6	-0.564511243
4.61	-0.630474639
4.62	-0.700864953
4.63	-0.774760852
4.64	-0.851128267
4.65	-0.928836173
4.66	-1.006674141
4.67	-1.08337137
4.68	-1.157616895
4.69	-1.228080661
4.7	-1.293435133
4.71	-1.352377079
4.72	-1.403649203
4.73	-1.446061263
4.74	-1.478510352
4.75	-1.5
4.76	-1.509657806
4.77	-1.5067513
4.78	-1.490701784
4.79	-1.461095923
4.8	-1.417694894
4.81	-1.360440938
4.82	-1.2894612
4.83	-1.205068785
4.84	-1.107761001
4.85	-0.99821481
4.86	-0.877279533
4.87	-0.745966922
4.88	-0.60543874
4.89	-0.456992026
4.9	-0.302042267
4.91	-0.142104731
4.92	0.021225771
4.93	0.186296371
4.94	0.351418572
4.95	0.514891264
4.96	0.675023987
4.97	0.83016009
4.98	0.978699429
4.99	1.119120261
5	1.25
5.01	1.370034533
5.02	1.478055784
5.03	1.573047272
5.04	1.654157435
5.05	1.720710505
5.06	1.772214784
5.07	1.808368197
5.08	1.829061044
5.09	1.834375911
5.1	1.824584753
5.11	1.800143204
5.12	1.7616822
5.13	1.709997061
5.14	1.646034203
5.15	1.570875695
5.16	1.485721902
5.17	1.391872501
5.18	1.290706148
5.19	1.18365914
5.2	1.072203391
5.21	0.957824074
5.22	0.84199727
5.23	0.72616799
5.24	0.611728884
5.25	0.5
5.26	0.392209871
5.27	0.289478252
5.28	0.192800746
5.29	0.103035569
5.3	0.020892647
5.31	-0.053074795
5.32	-0.118476032
5.33	-0.175085936
5.34	-0.222845343
5.35	-0.2618587
5.36	-0.292389032
5.37	-0.314850326
5.38	-0.329797469
5.39	-0.33791391
5.4	-0.339997254
5.41	-0.33694303
5.42	-0.329726901
5.43	-0.319385624
5.44	-0.306997051
5.45	-0.293659522
5.46	-0.280470981
5.47	-0.268508157
5.48	-0.258806155
5.49	-0.252338793
5.5	-0.25
5.51	-0.252586598
5.52	-0.260782735
5.53	-0.275146233
5.54	-0.296097081
5.55	-0.323908258
5.56	-0.35869905
5.57	-0.400430965
5.58	-0.448906324
5.59	-0.503769567
5.6	-0.564511243
5.61	-0.630474639
5.62	-0.700864953
5.63	-0.774760852
5.64	-0.851128267
5.65	-0.928836173
5.66	-1.006674141
5.67	-1.08337137
5.68	-1.157616895
5.69	-1.228080661
5.7	-1.293435133
5.71	-1.352377079
5.72	-1.403649203
5.73	-1.446061263
5.74	-1.478510352
5.75	-1.5
5.76	-1.509657806
5.77	-1.5067513
5.78	-1.490701784
5.79	-1.461095923
5.8	-1.417694894
5.81	-1.360440938
5.82	-1.2894612
5.83	-1.205068785
5.84	-1.107761001
5.85	-0.99821481
5.86	-0.877279533
5.87	-0.745966922
5.88	-0.60543874
5.89	-0.456992026
5.9	-0.302042267
5.91	-0.142104731
5.92	0.021225771
5.93	0.186296371
5.94	0.351418572
5.95	0.514891264
5.96	0.675023987
5.97	0.83016009
5.98	0.978699429
5.99	1.119120261
6	1.25
6.01	1.370034533
6.02	1.478055784
6.03	1.573047272
6.04	1.654157435
6.05	1.720710505
6.06	1.772214784
6.07	1.808368197
6.08	1.829061044
6.09	1.834375911
6.1	1.824584753
6.11	1.800143204
6.12	1.7616822
6.13	1.709997061
6.14	1.646034203
6.15	1.570875695
6.16	1.485721902
6.17	1.391872501
6.18	1.290706148
6.19	1.18365914
6.2	1.072203391
6.21	0.957824074
6.22	0.84199727
6.23	0.72616799
6.24	0.611728884
6.25	0.5
6.26	0.392209871
6.27	0.289478252
6.28	0.192800746
6.29	0.103035569
6.3	0.020892647
6.31	-0.053074795
6.32	-0.118476032
6.33	-0.175085936
6.34	-0.222845343
6.35	-0.2618587
6.36	-0.292389032
6.37	-0.314850326
6.38	-0.329797469
6.39	-0.33791391
6.4	-0.339997254
6.41	-0.33694303
6.42	-0.329726901
6.43	-0.319385624
6.44	-0.306997051
6.45	-0.293659522
6.46	-0.280470981
6.47	-0.268508157
6.48	-0.258806155
6.49	-0.252338793
6.5	-0.25
6.51	-0.252586598
6.52	-0.260782735
6.53	-0.275146233
6.54	-0.296097081
6.55	-0.323908258
6.56	-0.35869905
6.57	-0.400430965
6.58	-0.448906324
6.59	-0.503769567
6.6	-0.564511243
6.61	-0.630474639
6.62	-0.700864953
6.63	-0.774760852
6.64	-0.851128267
6.65	-0.928836173
6.66	-1.006674141
6.67	-1.08337137
6.68	-1.157616895
6.69	-1.228080661
6.7	-1.293435133
6.71	-1.352377079
6.72	-1.403649203
6.73	-1.446061263
6.74	-1.478510352
6.75	-1.5
6.76	-1.509657806
6.77	-1.5067513
6.78	-1.490701784
6.79	-1.461095923
6.8	-1.417694894
6.81	-1.360440938
6.82	-1.2894612
6.83	-1.205068785
6.84	-1.107761001
6.85	-0.99821481
6.86	-0.877279533
6.87	-0.745966922
6.88	-0.60543874
6.89	-0.456992026
6.9	-0.302042267
6.91	-0.142104731
6.92	0.021225771
6.93	0.186296371
6.94	0.351418572
6.95	0.514891264
6.96	0.675023987
6.97	0.83016009
6.98	0.978699429
6.99	1.119120261
7	1.25
7.01	1.370034533
7.02	1.478055784
7.03	1.573047272
7.04	1.654157435
7.05	1.720710505
7.06	1.772214784
7.07	1.808368197
7.08	1.829061044
7.09	1.834375911
7.1	1.824584753
7.11	1.800143204
7.12	1.7616822
7.13	1.709997061
7.14	1.646034203
7.15	1.570875695
7.16	1.485721902
7.17	1.391872501
7.18	1.290706148
7.19	1.18365914
7.2	1.072203391
7.21	0.957824074
7.22	0.84199727
7.23	0.72616799
7.24	0.611728884
7.25	0.5
7.26	0.392209871
7.27	0.289478252
7.28	0.192800746
7.29	0.103035569
7.3	0.020892647
7.31	-0.053074795
7.32	-0.118476032
7.33	-0.175085936
7.34	-0.222845343
7.35	-0.2618587
7.36	-0.292389032
7.37	-0.314850326
7.38	-0.329797469
7.39	-0.33791391
7.4	-0.339997254
7.41	-0.33694303
7.42	-0.329726901
7.43	-0.319385624
7.44	-0.306997051
7.45	-0.293659522
7.46	-0.280470981
7.47	-0.268508157
7.48	-0.258806155
7.49	-0.252338793
7.5	-0.25
7.51	-0.252586598
7.52	-0.260782735
7.53	-0.275146233
7.54	-0.296097081
7.55	-0.323908258
7.56	-0.35869905
7.57	-0.400430965
7.58	-0.448906324
7.59	-0.503769567
7.6	-0.564511243
7.61	-0.630474639
7.62	-0.700864953
7.63	-0.774760852
7.64	-0.851128267
7.65	-0.928836173
7.66	-1.006674141
7.67	-1.08337137
7.68	-1.157616895
7.69	-1.228080661
7.7	-1.293435133
7.71	-1.352377079
7.72	-1.403649203
7.73	-1.446061263
7.74	-1.478510352
7.75	-1.5
7.76	-1.509657806
7.77	-1.5067513
7.78	-1.490701784
7.79	-1.461095923
7.8	-1.417694894
7.81	-1.360440938
7.82	-1.2894612
7.83	-1.205068785
7.84	-1.107761001
7.85	-0.99821481
7.86	-0.877279533
7.87	-0.745966922
7.88	-0.60543874
7.89	-0.456992026
7.9	-0.302042267
7.91	-0.142104731
7.92	0.021225771
7.93	0.186296371
7.94	0.351418572
7.95	0.514891264
7.96	0.675023987
7.97	0.83016009
7.98	0.978699429
7.99	1.119120261
8	1.25
8.01	1.370034533
8.02	1.478055784
8.03	1.573047272
8.04	1.654157435
8.05	1.720710505
8.06	1.772214784
8.07	1.808368197
8.08	1.829061044
8.09	1.834375911
8.1	1.824584753
8.11	1.800143204
8.12	1.7616822
8.13	1.709997061
8.14	1.646034203
8.15	1.570875695
8.16	1.485721902
8.17	1.391872501
8.18	1.290706148
8.19	1.18365914
8.2	1.072203391
8.21	0.957824074
8.22	0.84199727
8.23	0.72616799
8.24	0.611728884
8.25	0.5
8.26	0.392209871
8.27	0.289478252
8.28	0.192800746
8.29	0.103035569
8.3	0.020892647
8.31	-0.053074795
8.32	-0.118476032
8.33	-0.175085936
8.34	-0.222845343
8.35	-0.2618587
8.36	-0.292389032
8.37	-0.314850326
8.38	-0.329797469
8.39	-0.33791391
8.4	-0.339997254
8.41	-0.33694303
8.42	-0.329726901
8.43	-0.319385624
8.44	-0.306997051
8.45	-0.293659522
8.46	-0.280470981
8.47	-0.268508157
8.48	-0.258806155
8.49	-0.252338793
8.5	-0.25
8.51	-0.252586598
8.52	-0.260782735
8.53	-0.275146233
8.54	-0.296097081
8.55	-0.323908258
8.56	-0.35869905
8.57	-0.400430965
8.58	-0.448906324
8.59	-0.503769567
8.6	-0.564511243
8.61	-0.630474639
8.62	-0.700864953
8.63	-0.774760852
8.64	-0.851128267
8.65	-0.928836173
8.66	-1.006674141
8.67	-1.08337137
8.68	-1.157616895
8.69	-1.228080661
8.7	-1.293435133
8.71	-1.352377079
8.72	-1.403649203
8.73	-1.446061263
8.74	-1.478510352
8.75	-1.5
8.76	-1.509657806
8.77	-1.5067513
8.78	-1.490701784
8.79	-1.461095923
8.8	-1.417694894
8.81	-1.360440938
8.82	-1.2894612
8.83	-1.205068785
8.84	-1.107761001
8.85	-0.99821481
8.86	-0.877279533
8.87	-0.745966922
8.88	-0.60543874
8.89	-0.456992026
8.9	-0.302042267
8.91	-0.142104731
8.92	0.021225771
8.93	0.186296371
8.94	0.351418572
8.95	0.514891264
8.96	0.675023987
8.97	0.83016009
8.98	0.978699429
8.99	1.119120261
9	1.25
9.01	1.370034533
9.02	1.478055784
9.03	1.573047272
9.04	1.654157435
9.05	1.720710505
9.06	1.772214784
9.07	1.808368197
9.08	1.829061044
9.09	1.834375911
9.1	1.824584753
9.11	1.800143204
9.12	1.7616822
9.13	1.709997061
9.14	1.646034203
9.15	1.570875695
9.16	1.485721902
9.17	1.391872501
9.18	1.290706148
9.19	1.18365914
9.2	1.072203391
9.21	0.957824074
9.22	0.84199727
9.23	0.72616799
9.24	0.611728884
9.25	0.5
9.26	0.392209871
9.27	0.289478252
9.28	0.192800746
9.29	0.103035569
9.3	0.020892647
9.31	-0.053074795
9.32	-0.118476032
9.33	-0.175085936
9.34	-0.222845343
9.35	-0.2618587
9.36	-0.292389032
9.37	-0.314850326
9.38	-0.329797469
9.39	-0.33791391
9.4	-0.339997254
9.41	-0.33694303
9.42	-0.329726901
9.43	-0.319385624
9.44	-0.306997051
9.45	-0.293659522
9.46	-0.280470981
9.47	-0.268508157
9.48	-0.258806155
9.49	-0.252338793
9.5	-0.25
9.51	-0.252586598
9.52	-0.260782735
9.53	-0.275146233
9.54	-0.296097081
9.55	-0.323908258
9.56	-0.35869905
9.57	-0.400430965
9.58	-0.448906324
9.59	-0.503769567
9.6	-0.564511243
9.61	-0.630474639
9.62	-0.700864953
9.63	-0.774760852
9.64	-0.851128267
9.65	-0.928836173
9.66	-1.006674141
9.67	-1.08337137
9.68	-1.157616895
9.69	-1.228080661
9.7	-1.293435133
9.71	-1.352377079
9.72	-1.403649203
9.73	-1.446061263
9.74	-1.478510352
9.75	-1.5
9.76	-1.509657806
9.77	-1.5067513
9.78	-1.490701784
9.79	-1.461095923
9.8	-1.417694894
9.81	-1.360440938
9.82	-1.2894612
9.83	-1.205068785
9.84	-1.107761001
9.85	-0.99821481
9.86	-0.877279533
9.87	-0.745966922
9.88	-0.60543874
9.89	-0.456992026
9.9	-0.302042267
9.91	-0.142104731
9.92	0.021225771
9.93	0.186296371
9.94	0.351418572
9.95	0.514891264
9.96	0.675023987
9.97	0.83016009
9.98	0.978699429
9.99	1.119120261
10	1.25
